" Frame3DD version: 20130318               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2013, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example A: linear static analysis of a 2D truss with support settlement (kips in)               "
" Mon Dec 30 16:00:32 2013
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 19 , 33 , 77  
 Last Row , 1 , 30 , 74 , 88  
 First Row , 2 , 95 , 109 , 153  
 Last Row , 2 , 106 , 150 , 164  

"L O A D   C A S E   1   O F   2  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,     -5.01728e-01,
     2,  1.07761e-02, -1.71344e-01,    0.0,        0.0,        0.0,     -8.73830e-02,
     3,  3.55276e-02, -2.97816e-01,    0.0,        0.0,        0.0,      1.55156e-02,
     4,  6.02788e-02, -3.32643e-01,    0.0,        0.0,        0.0,      1.68082e-05,
     5,  8.62947e-02, -2.95487e-01,    0.0,        0.0,        0.0,     -1.55558e-02,
     6,  1.12311e-01, -1.84135e-01,    0.0,        0.0,        0.0,      8.73866e-02,
     7,  1.29754e-01,    0.0,        0.0,        0.0,        0.0,      5.01896e-01,
     8,  1.00000e-01, -1.52896e-01,    0.0,        0.0,        0.0,      1.36060e-01,
     9,  8.92264e-02, -2.89325e-01,    0.0,        0.0,        0.0,     -1.11021e-02,
    10,  5.93944e-02, -3.32855e-01,    0.0,        0.0,        0.0,     -1.37326e-08,
    11,  2.95625e-02, -2.91133e-01,    0.0,        0.0,        0.0,      1.10623e-02,
    12,  1.21217e-02, -1.66951e-01,    0.0,        0.0,        0.0,     -1.36029e-01,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,     -1.00000e+00,    0.0,        0.0,        0.0,     -5.01206e-01,
     2,  7.19652e-02, -1.06746e+00,    0.0,        0.0,        0.0,     -8.64382e-02,
     3,  1.34909e-01, -1.01893e+00,    0.0,        0.0,        0.0,      1.69915e-02,
     4,  1.89577e-01, -8.50595e-01,    0.0,        0.0,        0.0,      1.61627e-03,
     5,  2.20207e-01, -6.15710e-01,    0.0,        0.0,        0.0,     -1.39881e-02,
     6,  2.42560e-01, -3.25659e-01,    0.0,        0.0,        0.0,      8.87652e-02,
     7,  2.54035e-01,    0.0,        0.0,        0.0,        0.0,      5.03041e-01,
     8,  1.00000e-01, -1.07615e+00,    0.0,        0.0,        0.0,      1.36834e-01,
     9,  4.87270e-02, -1.01871e+00,    0.0,        0.0,        0.0,     -9.55084e-03,
    10,  1.61127e-02, -8.50807e-01,    0.0,        0.0,        0.0,      1.62727e-03,
    11, -1.65016e-02, -6.15495e-01,    0.0,        0.0,        0.0,      1.25880e-02,
    12, -2.79733e-02, -3.14444e-01,    0.0,        0.0,        0.0,     -1.34603e-01,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1, -1.73916e+02,  9.90676e-02,      0.0,       0.0,       0.0,  -1.85585e+00,
     1,     2,  1.73916e+02,  2.40810e-01,      0.0,       0.0,       0.0,  -6.64869e+00,
     2,     2, -1.52115e+02,  1.61449e-01,      0.0,       0.0,       0.0,   2.63947e+00,
     2,     3,  1.52115e+02,  1.78428e-01,      0.0,       0.0,       0.0,  -3.65817e+00,
     3,     3, -1.32114e+02,  1.71848e-01,      0.0,       0.0,       0.0,   3.55050e+00,
     3,     4,  1.32114e+02,  1.68029e-01,      0.0,       0.0,       0.0,  -3.32136e+00,
     4,     4, -7.40210e+01,  1.67971e-01,      0.0,       0.0,       0.0,   3.31841e+00,
     4,     5,  7.40210e+01,  1.71907e-01,      0.0,       0.0,       0.0,  -3.55456e+00,
     5,     5, -5.40217e+01,  1.78390e-01,      0.0,       0.0,       0.0,   3.65754e+00,
     5,     6,  5.40217e+01,  1.61487e-01,      0.0,       0.0,       0.0,  -2.64337e+00,
     6,     6, -2.77293e+01,  2.40793e-01,      0.0,       0.0,       0.0,   6.64885e+00,
     6,     7,  2.77293e+01,  9.90847e-02,      0.0,       0.0,       0.0,   1.85364e+00,
     7,     1, -2.86510e+01,  1.48013e-01,      0.0,       0.0,       0.0,   1.85585e+00,
     7,     8,  2.89908e+01,  1.91864e-01,      0.0,       0.0,       0.0,  -5.57672e+00,
     8,     2,  2.11604e+01,  6.14590e-03,      0.0,       0.0,       0.0,  -1.70819e-01,
     8,     8, -2.08205e+01, -6.14590e-03,      0.0,       0.0,       0.0,   9.08327e-01,
     9,     2, -3.06583e+01,  1.64103e-01,      0.0,       0.0,       0.0,   4.18004e+00,
     9,     9,  3.09981e+01,  1.75774e-01,      0.0,       0.0,       0.0,  -5.17037e+00,
    10,     3, -3.50276e-01,  7.25518e-04,      0.0,       0.0,       0.0,   1.07675e-01,
    10,     9,  6.90154e-01, -7.25518e-04,      0.0,       0.0,       0.0,  -2.06129e-02,
    11,     4,  3.31164e+01, -1.70574e-01,      0.0,       0.0,       0.0,  -4.84139e+00,
    11,     9, -3.27765e+01, -1.69304e-01,      0.0,       0.0,       0.0,   4.73363e+00,
    12,     4,  6.82294e-01,      0.0,       0.0,       0.0,       0.0,   2.52879e-03,
    12,    10, -3.42417e-01,      0.0,       0.0,       0.0,       0.0,   2.58193e-03,
    13,     4, -3.48976e+01,  1.70575e-01,      0.0,       0.0,       0.0,   4.84181e+00,
    13,    11,  3.52375e+01,  1.69303e-01,      0.0,       0.0,       0.0,  -4.73387e+00,
    14,     5, -3.50297e-01, -6.45879e-04,      0.0,       0.0,       0.0,  -1.02978e-01,
    14,    11,  6.90174e-01,  6.45879e-04,      0.0,       0.0,       0.0,   2.54727e-02,
    15,     6,  3.73557e+01, -1.64092e-01,      0.0,       0.0,       0.0,  -4.18028e+00,
    15,    11, -3.70158e+01, -1.75786e-01,      0.0,       0.0,       0.0,   5.17256e+00,
    16,     6, -2.69328e+01, -6.08353e-03,      0.0,       0.0,       0.0,   1.74794e-01,
    16,    12,  2.72726e+01,  6.08353e-03,      0.0,       0.0,       0.0,  -9.04818e-01,
    17,     7,  3.93632e+01, -1.47979e-01,      0.0,       0.0,       0.0,  -1.85364e+00,
    17,    12, -3.90233e+01, -1.91898e-01,      0.0,       0.0,       0.0,   5.58029e+00,
    18,     8,  1.23910e+02,  1.85203e-01,      0.0,       0.0,       0.0,   4.66840e+00,
    18,     9, -1.23910e+02,  1.54674e-01,      0.0,       0.0,       0.0,  -2.83668e+00,
    19,     9,  7.88180e+01,  1.68643e-01,      0.0,       0.0,       0.0,   3.29403e+00,
    19,    10, -7.88180e+01,  1.71234e-01,      0.0,       0.0,       0.0,  -3.44949e+00,
    20,    10,  7.88180e+01,  1.71182e-01,      0.0,       0.0,       0.0,   3.44691e+00,
    20,    11, -7.88180e+01,  1.68695e-01,      0.0,       0.0,       0.0,  -3.29766e+00,
    21,    11,  2.77232e+01,  1.54589e-01,      0.0,       0.0,       0.0,   2.83350e+00,
    21,    12, -2.77232e+01,  1.85288e-01,      0.0,       0.0,       0.0,  -4.67547e+00,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1, -1.94280e+02, -2.00556e+01,       0.0,        0.0,        0.0,        0.0, 
     2,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     3,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,   2.80377e+01,       0.0,        0.0,        0.0,        0.0, 
     8,  1.44280e+02,       0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 1.000e-09
